shape,background_color,shape_color,size,rotation,path
pentagon,white,"(0, 127, 255)",110,230,"images/pentagons/pentagon_bg-white_color-(0, 127, 255)_size-110_angle-230.png"
heptagon,black,"(127, 0, 255)",120,330,"images/heptagons/heptagon_bg-black_color-(127, 0, 255)_size-120_angle-330.png"
heptagon,black,"(0, 255, 255)",150,160,"images/heptagons/heptagon_bg-black_color-(0, 255, 255)_size-150_angle-160.png"
pentagon,white,"(255, 0, 0)",200,50,"images/pentagons/pentagon_bg-white_color-(255, 0, 0)_size-200_angle-50.png"
pentagon,white,"(0, 127, 255)",110,40,"images/pentagons/pentagon_bg-white_color-(0, 127, 255)_size-110_angle-40.png"
pentagon,black,"(127, 127, 0)",110,180,"images/pentagons/pentagon_bg-black_color-(127, 127, 0)_size-110_angle-180.png"
pentagon,red,"(0, 255, 255)",175,20,"images/pentagons/pentagon_bg-red_color-(0, 255, 255)_size-175_angle-20.png"
square,black,"(0, 255, 255)",100,20,"images/squares/square_bg-black_color-(0, 255, 255)_size-100_angle-20.png"
heptagon,black,"(0, 255, 127)",160,270,"images/heptagons/heptagon_bg-black_color-(0, 255, 127)_size-160_angle-270.png"
triangle,black,"(0, 255, 0)",160,30,"images/triangles/triangle_bg-black_color-(0, 255, 0)_size-160_angle-30.png"
pentagon,black,"(0, 255, 127)",130,90,"images/pentagons/pentagon_bg-black_color-(0, 255, 127)_size-130_angle-90.png"
pentagon,red,"(0, 127, 0)",150,110,"images/pentagons/pentagon_bg-red_color-(0, 127, 0)_size-150_angle-110.png"
pentagon,black,"(0, 255, 255)",100,30,"images/pentagons/pentagon_bg-black_color-(0, 255, 255)_size-100_angle-30.png"
square,white,"(0, 255, 127)",200,10,"images/squares/square_bg-white_color-(0, 255, 127)_size-200_angle-10.png"
heptagon,red,"(255, 0, 255)",160,250,"images/heptagons/heptagon_bg-red_color-(255, 0, 255)_size-160_angle-250.png"
heptagon,blue,"(255, 255, 0)",100,290,"images/heptagons/heptagon_bg-blue_color-(255, 255, 0)_size-100_angle-290.png"
triangle,red,"(127, 127, 255)",200,50,"images/triangles/triangle_bg-red_color-(127, 127, 255)_size-200_angle-50.png"
square,white,"(0, 127, 255)",160,60,"images/squares/square_bg-white_color-(0, 127, 255)_size-160_angle-60.png"
heptagon,blue,"(0, 255, 0)",160,220,"images/heptagons/heptagon_bg-blue_color-(0, 255, 0)_size-160_angle-220.png"
pentagon,white,"(0, 127, 0)",160,240,"images/pentagons/pentagon_bg-white_color-(0, 127, 0)_size-160_angle-240.png"
triangle,red,"(127, 127, 255)",110,90,"images/triangles/triangle_bg-red_color-(127, 127, 255)_size-110_angle-90.png"
octagon,black,"(255, 255, 0)",100,30,"images/octagons/octagon_bg-black_color-(255, 255, 0)_size-100_angle-30.png"
triangle,white,"(255, 127, 0)",175,50,"images/triangles/triangle_bg-white_color-(255, 127, 0)_size-175_angle-50.png"
heptagon,black,"(127, 0, 255)",110,180,"images/heptagons/heptagon_bg-black_color-(127, 0, 255)_size-110_angle-180.png"
pentagon,white,"(0, 255, 0)",130,220,"images/pentagons/pentagon_bg-white_color-(0, 255, 0)_size-130_angle-220.png"
triangle,black,"(127, 127, 255)",110,60,"images/triangles/triangle_bg-black_color-(127, 127, 255)_size-110_angle-60.png"
hexagon,black,"(0, 127, 255)",140,30,"images/hexagons/hexagon_bg-black_color-(0, 127, 255)_size-140_angle-30.png"
hexagon,blue,"(255, 255, 0)",175,0,"images/hexagons/hexagon_bg-blue_color-(255, 255, 0)_size-175_angle-0.png"
triangle,red,"(127, 0, 255)",160,80,"images/triangles/triangle_bg-red_color-(127, 0, 255)_size-160_angle-80.png"
triangle,blue,"(0, 127, 255)",120,30,"images/triangles/triangle_bg-blue_color-(0, 127, 255)_size-120_angle-30.png"
pentagon,blue,"(127, 0, 127)",130,10,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-130_angle-10.png"
square,red,"(0, 0, 255)",200,10,"images/squares/square_bg-red_color-(0, 0, 255)_size-200_angle-10.png"
triangle,blue,"(255, 255, 0)",140,80,"images/triangles/triangle_bg-blue_color-(255, 255, 0)_size-140_angle-80.png"
pentagon,white,"(0, 255, 0)",100,230,"images/pentagons/pentagon_bg-white_color-(0, 255, 0)_size-100_angle-230.png"
heptagon,black,"(255, 127, 0)",175,240,"images/heptagons/heptagon_bg-black_color-(255, 127, 0)_size-175_angle-240.png"
triangle,white,"(0, 127, 0)",160,0,"images/triangles/triangle_bg-white_color-(0, 127, 0)_size-160_angle-0.png"
heptagon,blue,"(127, 127, 0)",120,20,"images/heptagons/heptagon_bg-blue_color-(127, 127, 0)_size-120_angle-20.png"
square,white,"(127, 0, 255)",200,10,"images/squares/square_bg-white_color-(127, 0, 255)_size-200_angle-10.png"
square,blue,"(127, 0, 255)",175,40,"images/squares/square_bg-blue_color-(127, 0, 255)_size-175_angle-40.png"
pentagon,blue,"(127, 0, 127)",140,60,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-140_angle-60.png"
heptagon,black,"(255, 0, 0)",100,270,"images/heptagons/heptagon_bg-black_color-(255, 0, 0)_size-100_angle-270.png"
octagon,black,"(0, 0, 255)",110,10,"images/octagons/octagon_bg-black_color-(0, 0, 255)_size-110_angle-10.png"
pentagon,red,"(255, 127, 0)",175,20,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-175_angle-20.png"
pentagon,white,"(127, 0, 255)",100,190,"images/pentagons/pentagon_bg-white_color-(127, 0, 255)_size-100_angle-190.png"
square,red,"(255, 0, 127)",130,10,"images/squares/square_bg-red_color-(255, 0, 127)_size-130_angle-10.png"
pentagon,blue,"(255, 0, 0)",140,60,"images/pentagons/pentagon_bg-blue_color-(255, 0, 0)_size-140_angle-60.png"
square,black,"(127, 0, 255)",110,70,"images/squares/square_bg-black_color-(127, 0, 255)_size-110_angle-70.png"
triangle,white,"(0, 127, 255)",120,90,"images/triangles/triangle_bg-white_color-(0, 127, 255)_size-120_angle-90.png"
heptagon,black,"(0, 255, 127)",110,220,"images/heptagons/heptagon_bg-black_color-(0, 255, 127)_size-110_angle-220.png"
triangle,white,"(0, 255, 0)",160,60,"images/triangles/triangle_bg-white_color-(0, 255, 0)_size-160_angle-60.png"
triangle,red,"(255, 127, 0)",130,30,"images/triangles/triangle_bg-red_color-(255, 127, 0)_size-130_angle-30.png"
pentagon,blue,"(127, 255, 0)",110,330,"images/pentagons/pentagon_bg-blue_color-(127, 255, 0)_size-110_angle-330.png"
heptagon,white,"(127, 255, 0)",110,340,"images/heptagons/heptagon_bg-white_color-(127, 255, 0)_size-110_angle-340.png"
triangle,white,"(0, 127, 127)",120,20,"images/triangles/triangle_bg-white_color-(0, 127, 127)_size-120_angle-20.png"
octagon,black,"(127, 255, 0)",160,80,"images/octagons/octagon_bg-black_color-(127, 255, 0)_size-160_angle-80.png"
pentagon,red,"(0, 0, 255)",110,260,"images/pentagons/pentagon_bg-red_color-(0, 0, 255)_size-110_angle-260.png"
pentagon,white,"(0, 127, 255)",160,320,"images/pentagons/pentagon_bg-white_color-(0, 127, 255)_size-160_angle-320.png"
pentagon,blue,"(127, 127, 0)",130,130,"images/pentagons/pentagon_bg-blue_color-(127, 127, 0)_size-130_angle-130.png"
pentagon,blue,"(255, 0, 127)",150,70,"images/pentagons/pentagon_bg-blue_color-(255, 0, 127)_size-150_angle-70.png"
pentagon,black,"(0, 255, 255)",175,50,"images/pentagons/pentagon_bg-black_color-(0, 255, 255)_size-175_angle-50.png"
pentagon,black,"(127, 0, 255)",110,90,"images/pentagons/pentagon_bg-black_color-(127, 0, 255)_size-110_angle-90.png"
heptagon,blue,"(255, 0, 127)",120,130,"images/heptagons/heptagon_bg-blue_color-(255, 0, 127)_size-120_angle-130.png"
heptagon,blue,"(127, 255, 0)",175,200,"images/heptagons/heptagon_bg-blue_color-(127, 255, 0)_size-175_angle-200.png"
triangle,white,"(127, 0, 255)",110,30,"images/triangles/triangle_bg-white_color-(127, 0, 255)_size-110_angle-30.png"
heptagon,red,"(127, 0, 255)",160,60,"images/heptagons/heptagon_bg-red_color-(127, 0, 255)_size-160_angle-60.png"
octagon,white,"(0, 255, 255)",120,60,"images/octagons/octagon_bg-white_color-(0, 255, 255)_size-120_angle-60.png"
heptagon,red,"(127, 0, 255)",150,330,"images/heptagons/heptagon_bg-red_color-(127, 0, 255)_size-150_angle-330.png"
pentagon,black,"(255, 127, 0)",100,260,"images/pentagons/pentagon_bg-black_color-(255, 127, 0)_size-100_angle-260.png"
pentagon,white,"(0, 127, 0)",120,30,"images/pentagons/pentagon_bg-white_color-(0, 127, 0)_size-120_angle-30.png"
pentagon,black,"(127, 255, 127)",130,200,"images/pentagons/pentagon_bg-black_color-(127, 255, 127)_size-130_angle-200.png"
square,white,"(0, 255, 127)",110,0,"images/squares/square_bg-white_color-(0, 255, 127)_size-110_angle-0.png"
square,red,"(255, 127, 0)",100,70,"images/squares/square_bg-red_color-(255, 127, 0)_size-100_angle-70.png"
octagon,red,"(0, 255, 127)",130,60,"images/octagons/octagon_bg-red_color-(0, 255, 127)_size-130_angle-60.png"
pentagon,red,"(0, 127, 255)",130,320,"images/pentagons/pentagon_bg-red_color-(0, 127, 255)_size-130_angle-320.png"
pentagon,blue,"(127, 127, 0)",160,140,"images/pentagons/pentagon_bg-blue_color-(127, 127, 0)_size-160_angle-140.png"
heptagon,blue,"(127, 0, 255)",175,80,"images/heptagons/heptagon_bg-blue_color-(127, 0, 255)_size-175_angle-80.png"
heptagon,red,"(127, 255, 0)",110,110,"images/heptagons/heptagon_bg-red_color-(127, 255, 0)_size-110_angle-110.png"
triangle,blue,"(0, 127, 127)",100,40,"images/triangles/triangle_bg-blue_color-(0, 127, 127)_size-100_angle-40.png"
triangle,red,"(127, 127, 255)",200,10,"images/triangles/triangle_bg-red_color-(127, 127, 255)_size-200_angle-10.png"
heptagon,blue,"(0, 255, 0)",110,110,"images/heptagons/heptagon_bg-blue_color-(0, 255, 0)_size-110_angle-110.png"
pentagon,black,"(127, 255, 127)",200,210,"images/pentagons/pentagon_bg-black_color-(127, 255, 127)_size-200_angle-210.png"
octagon,black,"(0, 255, 127)",175,20,"images/octagons/octagon_bg-black_color-(0, 255, 127)_size-175_angle-20.png"
heptagon,black,"(255, 255, 0)",150,30,"images/heptagons/heptagon_bg-black_color-(255, 255, 0)_size-150_angle-30.png"
heptagon,black,"(127, 0, 255)",130,40,"images/heptagons/heptagon_bg-black_color-(127, 0, 255)_size-130_angle-40.png"
square,black,"(127, 127, 0)",160,50,"images/squares/square_bg-black_color-(127, 127, 0)_size-160_angle-50.png"
square,red,"(127, 127, 255)",160,40,"images/squares/square_bg-red_color-(127, 127, 255)_size-160_angle-40.png"
heptagon,white,"(255, 127, 0)",140,0,"images/heptagons/heptagon_bg-white_color-(255, 127, 0)_size-140_angle-0.png"
pentagon,blue,"(0, 127, 255)",140,70,"images/pentagons/pentagon_bg-blue_color-(0, 127, 255)_size-140_angle-70.png"
heptagon,red,"(0, 255, 0)",130,210,"images/heptagons/heptagon_bg-red_color-(0, 255, 0)_size-130_angle-210.png"
triangle,black,"(127, 127, 0)",175,0,"images/triangles/triangle_bg-black_color-(127, 127, 0)_size-175_angle-0.png"
pentagon,red,"(0, 255, 255)",175,310,"images/pentagons/pentagon_bg-red_color-(0, 255, 255)_size-175_angle-310.png"
heptagon,black,"(127, 255, 0)",100,0,"images/heptagons/heptagon_bg-black_color-(127, 255, 0)_size-100_angle-0.png"
pentagon,black,"(127, 0, 127)",150,80,"images/pentagons/pentagon_bg-black_color-(127, 0, 127)_size-150_angle-80.png"
triangle,white,"(0, 127, 127)",160,10,"images/triangles/triangle_bg-white_color-(0, 127, 127)_size-160_angle-10.png"
heptagon,white,"(127, 255, 127)",175,50,"images/heptagons/heptagon_bg-white_color-(127, 255, 127)_size-175_angle-50.png"
pentagon,red,"(255, 127, 0)",160,0,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-160_angle-0.png"
pentagon,black,"(0, 127, 0)",175,30,"images/pentagons/pentagon_bg-black_color-(0, 127, 0)_size-175_angle-30.png"
heptagon,black,"(127, 0, 255)",150,120,"images/heptagons/heptagon_bg-black_color-(127, 0, 255)_size-150_angle-120.png"
octagon,blue,"(255, 0, 0)",175,20,"images/octagons/octagon_bg-blue_color-(255, 0, 0)_size-175_angle-20.png"
pentagon,red,"(0, 255, 0)",120,320,"images/pentagons/pentagon_bg-red_color-(0, 255, 0)_size-120_angle-320.png"
triangle,white,"(0, 127, 127)",140,20,"images/triangles/triangle_bg-white_color-(0, 127, 127)_size-140_angle-20.png"
heptagon,red,"(0, 127, 127)",110,110,"images/heptagons/heptagon_bg-red_color-(0, 127, 127)_size-110_angle-110.png"
heptagon,blue,"(0, 127, 0)",130,160,"images/heptagons/heptagon_bg-blue_color-(0, 127, 0)_size-130_angle-160.png"
heptagon,white,"(127, 255, 0)",110,80,"images/heptagons/heptagon_bg-white_color-(127, 255, 0)_size-110_angle-80.png"
pentagon,blue,"(255, 255, 0)",110,270,"images/pentagons/pentagon_bg-blue_color-(255, 255, 0)_size-110_angle-270.png"
pentagon,blue,"(0, 255, 127)",150,0,"images/pentagons/pentagon_bg-blue_color-(0, 255, 127)_size-150_angle-0.png"
heptagon,blue,"(0, 127, 255)",110,90,"images/heptagons/heptagon_bg-blue_color-(0, 127, 255)_size-110_angle-90.png"
heptagon,red,"(127, 127, 255)",100,290,"images/heptagons/heptagon_bg-red_color-(127, 127, 255)_size-100_angle-290.png"
heptagon,black,"(127, 0, 127)",100,250,"images/heptagons/heptagon_bg-black_color-(127, 0, 127)_size-100_angle-250.png"
octagon,white,"(0, 255, 0)",120,30,"images/octagons/octagon_bg-white_color-(0, 255, 0)_size-120_angle-30.png"
octagon,white,"(255, 0, 127)",200,20,"images/octagons/octagon_bg-white_color-(255, 0, 127)_size-200_angle-20.png"
pentagon,blue,"(127, 127, 0)",140,260,"images/pentagons/pentagon_bg-blue_color-(127, 127, 0)_size-140_angle-260.png"
heptagon,white,"(127, 255, 127)",130,20,"images/heptagons/heptagon_bg-white_color-(127, 255, 127)_size-130_angle-20.png"
pentagon,white,"(127, 255, 127)",100,350,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-100_angle-350.png"
octagon,blue,"(127, 127, 0)",140,60,"images/octagons/octagon_bg-blue_color-(127, 127, 0)_size-140_angle-60.png"
heptagon,red,"(127, 255, 127)",110,70,"images/heptagons/heptagon_bg-red_color-(127, 255, 127)_size-110_angle-70.png"
heptagon,white,"(0, 127, 0)",110,240,"images/heptagons/heptagon_bg-white_color-(0, 127, 0)_size-110_angle-240.png"
heptagon,red,"(127, 255, 0)",100,100,"images/heptagons/heptagon_bg-red_color-(127, 255, 0)_size-100_angle-100.png"
square,red,"(0, 255, 0)",110,50,"images/squares/square_bg-red_color-(0, 255, 0)_size-110_angle-50.png"
heptagon,blue,"(255, 255, 0)",160,320,"images/heptagons/heptagon_bg-blue_color-(255, 255, 0)_size-160_angle-320.png"
triangle,black,"(0, 0, 255)",100,10,"images/triangles/triangle_bg-black_color-(0, 0, 255)_size-100_angle-10.png"
pentagon,red,"(127, 255, 0)",120,80,"images/pentagons/pentagon_bg-red_color-(127, 255, 0)_size-120_angle-80.png"
triangle,red,"(127, 255, 0)",200,30,"images/triangles/triangle_bg-red_color-(127, 255, 0)_size-200_angle-30.png"
square,white,"(255, 255, 0)",130,20,"images/squares/square_bg-white_color-(255, 255, 0)_size-130_angle-20.png"
hexagon,black,"(127, 127, 0)",130,30,"images/hexagons/hexagon_bg-black_color-(127, 127, 0)_size-130_angle-30.png"
square,red,"(127, 0, 127)",110,60,"images/squares/square_bg-red_color-(127, 0, 127)_size-110_angle-60.png"
pentagon,white,"(0, 255, 0)",200,20,"images/pentagons/pentagon_bg-white_color-(0, 255, 0)_size-200_angle-20.png"
pentagon,blue,"(0, 255, 255)",200,250,"images/pentagons/pentagon_bg-blue_color-(0, 255, 255)_size-200_angle-250.png"
hexagon,white,"(127, 0, 127)",150,0,"images/hexagons/hexagon_bg-white_color-(127, 0, 127)_size-150_angle-0.png"
heptagon,black,"(255, 255, 0)",175,110,"images/heptagons/heptagon_bg-black_color-(255, 255, 0)_size-175_angle-110.png"
heptagon,white,"(255, 0, 127)",100,260,"images/heptagons/heptagon_bg-white_color-(255, 0, 127)_size-100_angle-260.png"
pentagon,black,"(255, 0, 0)",100,110,"images/pentagons/pentagon_bg-black_color-(255, 0, 0)_size-100_angle-110.png"
pentagon,black,"(127, 255, 0)",150,280,"images/pentagons/pentagon_bg-black_color-(127, 255, 0)_size-150_angle-280.png"
heptagon,blue,"(0, 255, 0)",100,0,"images/heptagons/heptagon_bg-blue_color-(0, 255, 0)_size-100_angle-0.png"
pentagon,blue,"(127, 0, 255)",150,120,"images/pentagons/pentagon_bg-blue_color-(127, 0, 255)_size-150_angle-120.png"
pentagon,black,"(0, 127, 255)",175,20,"images/pentagons/pentagon_bg-black_color-(0, 127, 255)_size-175_angle-20.png"
square,blue,"(255, 255, 0)",200,10,"images/squares/square_bg-blue_color-(255, 255, 0)_size-200_angle-10.png"
pentagon,blue,"(255, 0, 0)",150,300,"images/pentagons/pentagon_bg-blue_color-(255, 0, 0)_size-150_angle-300.png"
triangle,blue,"(0, 255, 0)",175,40,"images/triangles/triangle_bg-blue_color-(0, 255, 0)_size-175_angle-40.png"
square,blue,"(127, 0, 127)",100,20,"images/squares/square_bg-blue_color-(127, 0, 127)_size-100_angle-20.png"
heptagon,blue,"(255, 0, 255)",175,120,"images/heptagons/heptagon_bg-blue_color-(255, 0, 255)_size-175_angle-120.png"
pentagon,blue,"(255, 255, 0)",200,150,"images/pentagons/pentagon_bg-blue_color-(255, 255, 0)_size-200_angle-150.png"
triangle,white,"(255, 255, 0)",110,100,"images/triangles/triangle_bg-white_color-(255, 255, 0)_size-110_angle-100.png"
heptagon,white,"(127, 127, 0)",160,160,"images/heptagons/heptagon_bg-white_color-(127, 127, 0)_size-160_angle-160.png"
triangle,black,"(127, 255, 127)",200,110,"images/triangles/triangle_bg-black_color-(127, 255, 127)_size-200_angle-110.png"
triangle,blue,"(0, 127, 255)",150,80,"images/triangles/triangle_bg-blue_color-(0, 127, 255)_size-150_angle-80.png"
triangle,white,"(127, 127, 0)",120,20,"images/triangles/triangle_bg-white_color-(127, 127, 0)_size-120_angle-20.png"
heptagon,white,"(255, 0, 127)",160,150,"images/heptagons/heptagon_bg-white_color-(255, 0, 127)_size-160_angle-150.png"
heptagon,blue,"(255, 0, 255)",130,180,"images/heptagons/heptagon_bg-blue_color-(255, 0, 255)_size-130_angle-180.png"
octagon,white,"(0, 0, 255)",200,40,"images/octagons/octagon_bg-white_color-(0, 0, 255)_size-200_angle-40.png"
pentagon,red,"(255, 127, 0)",175,180,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-175_angle-180.png"
pentagon,black,"(0, 255, 255)",130,140,"images/pentagons/pentagon_bg-black_color-(0, 255, 255)_size-130_angle-140.png"
heptagon,black,"(0, 255, 0)",175,90,"images/heptagons/heptagon_bg-black_color-(0, 255, 0)_size-175_angle-90.png"
heptagon,white,"(127, 127, 255)",100,330,"images/heptagons/heptagon_bg-white_color-(127, 127, 255)_size-100_angle-330.png"
pentagon,white,"(127, 255, 127)",175,100,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-175_angle-100.png"
heptagon,white,"(127, 255, 127)",200,170,"images/heptagons/heptagon_bg-white_color-(127, 255, 127)_size-200_angle-170.png"
square,red,"(127, 255, 127)",120,30,"images/squares/square_bg-red_color-(127, 255, 127)_size-120_angle-30.png"
pentagon,white,"(127, 255, 127)",130,260,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-130_angle-260.png"
triangle,red,"(0, 127, 127)",110,70,"images/triangles/triangle_bg-red_color-(0, 127, 127)_size-110_angle-70.png"
octagon,red,"(127, 127, 0)",110,80,"images/octagons/octagon_bg-red_color-(127, 127, 0)_size-110_angle-80.png"
pentagon,blue,"(127, 0, 255)",200,40,"images/pentagons/pentagon_bg-blue_color-(127, 0, 255)_size-200_angle-40.png"
pentagon,blue,"(127, 127, 255)",140,160,"images/pentagons/pentagon_bg-blue_color-(127, 127, 255)_size-140_angle-160.png"
hexagon,black,"(0, 255, 255)",110,0,"images/hexagons/hexagon_bg-black_color-(0, 255, 255)_size-110_angle-0.png"
triangle,blue,"(0, 127, 0)",200,90,"images/triangles/triangle_bg-blue_color-(0, 127, 0)_size-200_angle-90.png"
octagon,red,"(127, 255, 0)",175,50,"images/octagons/octagon_bg-red_color-(127, 255, 0)_size-175_angle-50.png"
pentagon,red,"(127, 127, 255)",120,160,"images/pentagons/pentagon_bg-red_color-(127, 127, 255)_size-120_angle-160.png"
triangle,red,"(0, 255, 255)",200,100,"images/triangles/triangle_bg-red_color-(0, 255, 255)_size-200_angle-100.png"
heptagon,blue,"(0, 127, 255)",160,100,"images/heptagons/heptagon_bg-blue_color-(0, 127, 255)_size-160_angle-100.png"
triangle,blue,"(0, 255, 127)",120,70,"images/triangles/triangle_bg-blue_color-(0, 255, 127)_size-120_angle-70.png"
square,black,"(0, 127, 0)",140,60,"images/squares/square_bg-black_color-(0, 127, 0)_size-140_angle-60.png"
pentagon,black,"(255, 0, 0)",150,150,"images/pentagons/pentagon_bg-black_color-(255, 0, 0)_size-150_angle-150.png"
pentagon,black,"(127, 255, 127)",200,80,"images/pentagons/pentagon_bg-black_color-(127, 255, 127)_size-200_angle-80.png"
heptagon,red,"(127, 0, 255)",100,290,"images/heptagons/heptagon_bg-red_color-(127, 0, 255)_size-100_angle-290.png"
pentagon,white,"(0, 127, 127)",175,180,"images/pentagons/pentagon_bg-white_color-(0, 127, 127)_size-175_angle-180.png"
pentagon,black,"(127, 127, 255)",110,190,"images/pentagons/pentagon_bg-black_color-(127, 127, 255)_size-110_angle-190.png"
pentagon,red,"(127, 255, 0)",130,120,"images/pentagons/pentagon_bg-red_color-(127, 255, 0)_size-130_angle-120.png"
triangle,black,"(0, 127, 255)",150,20,"images/triangles/triangle_bg-black_color-(0, 127, 255)_size-150_angle-20.png"
triangle,white,"(127, 0, 255)",140,60,"images/triangles/triangle_bg-white_color-(127, 0, 255)_size-140_angle-60.png"
pentagon,white,"(127, 0, 255)",200,110,"images/pentagons/pentagon_bg-white_color-(127, 0, 255)_size-200_angle-110.png"
pentagon,black,"(255, 255, 0)",130,320,"images/pentagons/pentagon_bg-black_color-(255, 255, 0)_size-130_angle-320.png"
pentagon,white,"(127, 127, 0)",100,140,"images/pentagons/pentagon_bg-white_color-(127, 127, 0)_size-100_angle-140.png"
heptagon,red,"(0, 255, 0)",140,140,"images/heptagons/heptagon_bg-red_color-(0, 255, 0)_size-140_angle-140.png"
heptagon,red,"(0, 127, 255)",110,290,"images/heptagons/heptagon_bg-red_color-(0, 127, 255)_size-110_angle-290.png"
triangle,white,"(0, 255, 255)",160,40,"images/triangles/triangle_bg-white_color-(0, 255, 255)_size-160_angle-40.png"
pentagon,white,"(127, 255, 0)",160,100,"images/pentagons/pentagon_bg-white_color-(127, 255, 0)_size-160_angle-100.png"
heptagon,blue,"(127, 255, 127)",120,220,"images/heptagons/heptagon_bg-blue_color-(127, 255, 127)_size-120_angle-220.png"
octagon,red,"(127, 127, 255)",100,50,"images/octagons/octagon_bg-red_color-(127, 127, 255)_size-100_angle-50.png"
pentagon,blue,"(127, 0, 127)",130,330,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-130_angle-330.png"
square,red,"(0, 0, 255)",150,60,"images/squares/square_bg-red_color-(0, 0, 255)_size-150_angle-60.png"
square,red,"(0, 127, 255)",160,40,"images/squares/square_bg-red_color-(0, 127, 255)_size-160_angle-40.png"
pentagon,black,"(0, 127, 255)",130,250,"images/pentagons/pentagon_bg-black_color-(0, 127, 255)_size-130_angle-250.png"
triangle,white,"(255, 0, 127)",120,80,"images/triangles/triangle_bg-white_color-(255, 0, 127)_size-120_angle-80.png"
square,black,"(127, 127, 255)",175,70,"images/squares/square_bg-black_color-(127, 127, 255)_size-175_angle-70.png"
pentagon,red,"(255, 127, 0)",150,180,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-150_angle-180.png"
pentagon,red,"(127, 0, 255)",120,60,"images/pentagons/pentagon_bg-red_color-(127, 0, 255)_size-120_angle-60.png"
square,black,"(255, 0, 255)",130,50,"images/squares/square_bg-black_color-(255, 0, 255)_size-130_angle-50.png"
heptagon,blue,"(0, 255, 255)",120,220,"images/heptagons/heptagon_bg-blue_color-(0, 255, 255)_size-120_angle-220.png"
heptagon,blue,"(0, 127, 0)",175,280,"images/heptagons/heptagon_bg-blue_color-(0, 127, 0)_size-175_angle-280.png"
triangle,red,"(127, 0, 255)",160,90,"images/triangles/triangle_bg-red_color-(127, 0, 255)_size-160_angle-90.png"
heptagon,red,"(0, 0, 255)",140,20,"images/heptagons/heptagon_bg-red_color-(0, 0, 255)_size-140_angle-20.png"
square,blue,"(127, 0, 127)",175,40,"images/squares/square_bg-blue_color-(127, 0, 127)_size-175_angle-40.png"
triangle,white,"(255, 0, 127)",100,30,"images/triangles/triangle_bg-white_color-(255, 0, 127)_size-100_angle-30.png"
heptagon,black,"(0, 255, 255)",130,150,"images/heptagons/heptagon_bg-black_color-(0, 255, 255)_size-130_angle-150.png"
heptagon,red,"(255, 127, 0)",200,0,"images/heptagons/heptagon_bg-red_color-(255, 127, 0)_size-200_angle-0.png"
square,blue,"(127, 127, 0)",150,60,"images/squares/square_bg-blue_color-(127, 127, 0)_size-150_angle-60.png"
pentagon,white,"(127, 255, 127)",150,240,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-150_angle-240.png"
heptagon,black,"(0, 255, 127)",200,160,"images/heptagons/heptagon_bg-black_color-(0, 255, 127)_size-200_angle-160.png"
pentagon,red,"(127, 255, 127)",175,180,"images/pentagons/pentagon_bg-red_color-(127, 255, 127)_size-175_angle-180.png"
pentagon,red,"(127, 0, 127)",175,160,"images/pentagons/pentagon_bg-red_color-(127, 0, 127)_size-175_angle-160.png"
octagon,blue,"(0, 127, 255)",100,40,"images/octagons/octagon_bg-blue_color-(0, 127, 255)_size-100_angle-40.png"
pentagon,white,"(0, 127, 127)",130,30,"images/pentagons/pentagon_bg-white_color-(0, 127, 127)_size-130_angle-30.png"
pentagon,red,"(255, 0, 127)",150,240,"images/pentagons/pentagon_bg-red_color-(255, 0, 127)_size-150_angle-240.png"
triangle,black,"(0, 255, 255)",130,50,"images/triangles/triangle_bg-black_color-(0, 255, 255)_size-130_angle-50.png"
pentagon,red,"(127, 0, 255)",120,320,"images/pentagons/pentagon_bg-red_color-(127, 0, 255)_size-120_angle-320.png"
heptagon,red,"(0, 255, 0)",100,250,"images/heptagons/heptagon_bg-red_color-(0, 255, 0)_size-100_angle-250.png"
heptagon,black,"(127, 255, 127)",175,130,"images/heptagons/heptagon_bg-black_color-(127, 255, 127)_size-175_angle-130.png"
pentagon,red,"(255, 127, 0)",175,60,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-175_angle-60.png"
pentagon,blue,"(127, 255, 127)",120,210,"images/pentagons/pentagon_bg-blue_color-(127, 255, 127)_size-120_angle-210.png"
square,black,"(127, 0, 127)",200,20,"images/squares/square_bg-black_color-(127, 0, 127)_size-200_angle-20.png"
triangle,black,"(127, 0, 127)",130,100,"images/triangles/triangle_bg-black_color-(127, 0, 127)_size-130_angle-100.png"
heptagon,blue,"(0, 255, 127)",140,180,"images/heptagons/heptagon_bg-blue_color-(0, 255, 127)_size-140_angle-180.png"
pentagon,white,"(0, 127, 127)",100,90,"images/pentagons/pentagon_bg-white_color-(0, 127, 127)_size-100_angle-90.png"
